Date,Open,High,Low,Close,Volume,Company,Ticker
2024-04-09,226.82751779666413,227.43682247030245,222.72639013748815,223.00759887695312,15801250,Wipro,WIPRO.NS
2024-04-10,223.80440862967825,224.71837999892492,221.74213002867953,223.71066284179688,10771534,Wipro,WIPRO.NS
2024-04-12,222.63264709245757,224.97614864079924,220.28914554411594,220.6406707763672,13170046,Wipro,WIPRO.NS
2024-04-15,218.62527583206491,219.5158036031603,214.75849808865692,215.29750061035156,12176472,Wipro,WIPRO.NS
2024-04-16,212.34468293868858,214.89910550859463,208.47790514055137,210.1417999267578,21439424,Wipro,WIPRO.NS
2024-04-18,212.08690318939765,213.46957490953062,207.56394778320546,208.26699829101562,21986258,Wipro,WIPRO.NS
2024-04-19,206.22814193211624,212.74307355516106,204.82204096439725,212.20407104492188,20470106,Wipro,WIPRO.NS
2024-04-22,212.20407276236133,218.48465427495057,210.9151468648539,216.53955078125,18881740,Wipro,WIPRO.NS
2024-04-23,218.78930875443902,218.78930875443902,215.69589801321194,216.58642578125,10322712,Wipro,WIPRO.NS
2024-04-24,217.43006855333385,217.78159378196187,214.9459626591351,215.55526733398438,5915168,Wipro,WIPRO.NS
2024-04-25,215.08657302928142,216.79732632894198,213.63359918303325,216.0708465576172,11805090,Wipro,WIPRO.NS
2024-04-26,216.492682083782,223.0076138858216,216.35207770458655,217.7581787109375,21478294,Wipro,WIPRO.NS
2024-04-29,219.18768499921092,219.35173295936585,216.35205400183762,216.98480224609375,7249940,Wipro,WIPRO.NS
2024-04-30,217.00824331010656,218.76586947082558,216.30519284581896,216.72702026367188,8902956,Wipro,WIPRO.NS
2024-05-02,216.7270313303772,217.00825439117196,213.46957259500175,214.38352966308594,14937276,Wipro,WIPRO.NS
2024-05-03,215.78960704343055,216.539530355598,212.41497359407325,214.36007690429688,9730626,Wipro,WIPRO.NS
2024-05-06,215.03970831757135,216.82077817555523,213.72735309892985,214.9694061279297,6918126,Wipro,WIPRO.NS
2024-05-07,216.44579546696352,218.10969013448153,212.78993880367014,217.43006896972656,9278528,Wipro,WIPRO.NS
2024-05-08,217.9456445843357,218.6018221589237,216.21144771244036,217.10198974609375,8205680,Wipro,WIPRO.NS
2024-05-09,216.42236533691735,217.66441828159637,212.81336727526312,213.6804656982422,9233484,Wipro,WIPRO.NS
2024-05-10,213.7507745772607,214.43039576067383,211.05574774529595,211.78224182128906,6654714,Wipro,WIPRO.NS
2024-05-13,211.78224392824276,212.43842152009475,208.57164385315423,211.82911682128906,7111608,Wipro,WIPRO.NS
2024-05-14,212.18063467978845,215.55526830770268,211.94628452631116,213.89138793945312,4909420,Wipro,WIPRO.NS
2024-05-15,213.89140181104298,215.484980097318,213.09460551610587,214.80535888671875,4793424,Wipro,WIPRO.NS
2024-05-16,216.5395447220328,219.11739644491414,213.77421573457067,217.6878662109375,14621472,Wipro,WIPRO.NS
2024-05-17,217.66442477779964,217.66442477779964,215.62557553416096,216.0708465576172,6876820,Wipro,WIPRO.NS
2024-05-21,217.00824507635056,217.85189991892292,215.46153976376843,216.0239715576172,8467448,Wipro,WIPRO.NS
2024-05-22,216.96136437511018,217.21915812032728,215.06313389584702,216.21144104003906,7765884,Wipro,WIPRO.NS
2024-05-23,216.77389708893222,219.35174883809788,216.4223718504096,218.3206024169922,13171332,Wipro,WIPRO.NS
2024-05-24,218.88304563393268,220.52349672540754,216.53954407468288,217.31289672851562,8205526,Wipro,WIPRO.NS
2024-05-27,216.539559130445,216.60986132139087,211.66507840900766,212.0634765625,40983758,Wipro,WIPRO.NS
2024-05-28,212.78994825026973,214.31322431153265,212.36812081710127,213.7507781982422,15778126,Wipro,WIPRO.NS
2024-05-29,212.78994685419138,213.49299733939245,210.68079539858815,211.29010009765625,9756036,Wipro,WIPRO.NS
2024-05-30,210.44644774562443,210.68079791015185,203.93151603248188,204.79861450195312,20724568,Wipro,WIPRO.NS
2024-05-31,205.0798243084693,207.23584869390075,204.11899435041784,205.38449096679688,21438004,Wipro,WIPRO.NS
2024-06-03,211.00890101467547,211.17293469252593,206.95463158804097,208.1498260498047,8964424,Wipro,WIPRO.NS
2024-06-04,208.99346561479234,208.99346561479234,195.4480295005349,205.3610382080078,17730732,Wipro,WIPRO.NS
2024-06-05,206.087536522902,213.25864570085392,205.78286987187903,211.61819458007812,12267428,Wipro,WIPRO.NS
2024-06-06,213.23521535568656,216.53954687552957,212.13376674787273,216.0708465576172,15425568,Wipro,WIPRO.NS
2024-06-07,220.2891354018149,227.97581726575444,219.4923391906246,227.1087188720703,72672440,Wipro,WIPRO.NS
2024-06-10,228.9132386409775,228.9132386409775,221.8593043857575,222.7498321533203,18311752,Wipro,WIPRO.NS
